trip_id,start_station_name,end_station_name,start_time,end_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude
TRIP_00037,Station_22,Station_16,2024-07-17 12:41:20,2024-08-14 12:41:20,34.772934,-93.018621,39.301538,-93.228008
TRIP_00038,Station_30,Station_1,2024-09-20 12:41:20,2024-07-17 12:41:20,30.957834,-96.867631,33.350618,-94.247924
TRIP_00039,Station_21,Station_45,2024-07-24 12:41:20,2024-02-12 12:41:20,32.414875,-91.403848,34.194985,-91.219454
TRIP_00040,Station_26,Station_17,2024-06-03 12:41:20,2024-10-06 12:41:20,37.393945,-95.99092,30.569201,-97.98434
TRIP_00041,Station_6,Station_12,2024-03-23 12:41:20,2024-06-18 12:41:20,34.312497,-93.247927,36.662545,-92.320202
TRIP_00042,Station_40,Station_21,2024-01-28 12:41:20,2024-08-16 12:41:20,34.116282,-96.501983,32.764459,-98.843769
TRIP_00043,Station_9,Station_41,2024-10-07 12:41:20,2023-10-31 12:41:20,31.494456,-94.745782,34.345911,-91.954633
TRIP_00044,Station_43,Station_40,2024-06-15 12:41:20,2024-08-22 12:41:20,30.01551,-90.356689,39.271839,-96.419513
TRIP_00045,Station_7,Station_16,2024-05-28 12:41:20,2024-06-24 12:41:20,39.124522,-95.076261,38.94988,-94.153332
TRIP_00046,Station_47,Station_25,2024-05-19 12:41:20,2023-11-11 12:41:20,38.247917,-99.213886,36.775659,-94.007134
TRIP_00047,Station_19,Station_27,2024-08-11 12:41:20,2024-07-31 12:41:20,31.295893,-97.353679,38.776749,-98.133024
TRIP_00048,Station_40,Station_27,2023-11-05 12:41:20,2023-12-04 12:41:20,35.522056,-98.949449,32.440926,-97.025944
TRIP_00049,Station_5,Station_40,2023-11-02 12:41:20,2024-05-08 12:41:20,31.468168,-90.391036,32.17617,-91.241082
TRIP_00050,Station_3,Station_6,2024-01-22 12:41:20,2024-05-22 12:41:20,39.596044,-96.443327,33.644864,-94.575076
TRIP_00051,Station_1,Station_19,2024-07-11 12:41:20,2024-06-01 12:41:20,30.863696,-97.81396,33.48483,-91.206622
TRIP_00052,Station_5,Station_18,2024-04-24 12:41:20,2023-10-20 12:41:20,32.931011,-94.583006,39.637977,-99.285647
TRIP_00053,Station_42,Station_4,2024-05-12 12:41:20,2024-06-20 12:41:20,37.560671,-91.469629,32.703148,-98.305542
TRIP_00054,Station_23,Station_14,2024-04-29 12:41:20,2024-06-24 12:41:20,39.340774,-95.837939,39.316548,-94.374356
TRIP_00055,Station_8,Station_24,2024-09-28 12:41:20,2023-11-20 12:41:20,39.913173,-94.020374,34.530922,-97.597989
TRIP_00056,Station_28,Station_25,2023-10-10 12:41:20,2023-12-05 12:41:20,32.702023,-94.13982,37.349901,-98.833143
TRIP_00057,Station_49,Station_32,2024-03-14 12:41:20,2024-01-25 12:41:20,34.403848,-93.619209,39.24309,-93.558453
TRIP_00058,Station_1,Station_44,2024-05-30 12:41:20,2023-10-21 12:41:20,30.57525,-94.69856,33.100309,-92.275268
TRIP_00059,Station_14,Station_39,2024-03-17 12:41:20,2024-06-03 12:41:20,38.527574,-91.066518,36.421812,-91.490871
TRIP_00060,Station_41,Station_34,2024-06-26 12:41:20,2024-08-21 12:41:20,38.009336,-90.711948,35.840971,-98.413048
TRIP_00061,Station_18,Station_26,2024-04-12 12:41:20,2023-10-17 12:41:20,31.796913,-93.693253,38.106492,-96.306915
TRIP_00062,Station_38,Station_4,2024-06-21 12:41:20,2024-02-28 12:41:20,30.304273,-97.168543,32.956451,-91.671056
TRIP_00063,Station_17,Station_16,2024-04-08 12:41:20,2023-11-08 12:41:20,30.078575,-97.387584,35.510346,-96.665863
TRIP_00064,Station_26,Station_41,2024-04-29 12:41:20,2024-07-06 12:41:20,34.515757,-92.52042,39.877385,-95.249702
TRIP_00065,Station_49,Station_27,2023-12-26 12:41:20,2024-08-26 12:41:20,36.685502,-96.274542,34.543899,-93.302114
TRIP_00066,Station_21,Station_28,2024-05-02 12:41:20,2024-01-09 12:41:20,32.110587,-90.836512,37.533662,-90.029355
TRIP_00067,Station_44,Station_8,2024-03-13 12:41:20,2023-12-29 12:41:20,36.836227,-99.245453,34.536443,-97.787788
TRIP_00068,Station_5,Station_21,2024-03-16 12:41:20,2024-09-14 12:41:20,38.950073,-96.373201,39.625906,-97.773925
TRIP_00069,Station_11,Station_45,2024-05-19 12:41:20,2024-07-04 12:41:20,33.353797,-96.239798,38.178464,-93.722468
TRIP_00070,Station_35,Station_14,2024-02-22 12:41:20,2024-01-27 12:41:20,38.907789,-94.23297,31.112661,-91.359707
TRIP_00071,Station_20,Station_3,2024-07-25 12:41:20,2024-08-18 12:41:20,36.156452,-93.667896,39.873453,-91.640326
TRIP_00072,Station_14,Station_14,2023-12-07 12:41:20,2024-02-18 12:41:20,37.680894,-97.479923,34.39367,-97.171767
TRIP_00073,Station_37,Station_6,2024-04-19 12:41:20,2024-07-26 12:41:20,37.136053,-95.832388,31.317458,-92.763715
TRIP_00074,Station_42,Station_18,2023-12-02 12:41:20,2023-10-20 12:41:20,33.133766,-94.776074,31.15186,-93.659052
TRIP_00075,Station_46,Station_6,2024-09-23 12:41:20,2023-10-16 12:41:20,37.487071,-98.97228,34.14748,-99.542315
TRIP_00076,Station_27,Station_50,2024-02-05 12:41:20,2024-09-11 12:41:20,33.964228,-96.695251,36.668271,-98.968363
TRIP_00077,Station_8,Station_14,2024-05-08 12:41:20,2024-07-20 12:41:20,38.626128,-96.827364,36.711409,-97.659346
TRIP_00078,Station_23,Station_12,2024-03-26 12:41:20,2024-03-04 12:41:20,38.403611,-95.964762,31.558314,-99.812948
TRIP_00079,Station_45,Station_28,2024-03-22 12:41:20,2024-09-13 12:41:20,37.1111,-99.995367,37.825076,-98.715368
TRIP_00080,Station_9,Station_35,2023-12-02 12:41:20,2023-10-24 12:41:20,35.186604,-96.625927,33.245239,-90.437981
TRIP_00081,Station_28,Station_46,2023-10-14 12:41:20,2024-03-28 12:41:20,31.739087,-99.441838,37.359041,-90.115765
TRIP_00082,Station_39,Station_30,2024-06-01 12:41:20,2024-05-05 12:41:20,35.681891,-93.710495,35.793323,-96.798296
TRIP_00083,Station_25,Station_43,2024-10-02 12:41:20,2024-05-05 12:41:20,36.661398,-96.828415,31.625597,-99.430113
TRIP_00084,Station_46,Station_43,2024-01-16 12:41:20,2024-04-19 12:41:20,33.822741,-99.689302,38.87949,-95.245481
TRIP_00085,Station_9,Station_49,2024-04-16 12:41:20,2023-11-27 12:41:20,31.157753,-95.5498,30.515897,-95.165542
TRIP_00086,Station_27,Station_26,2024-09-06 12:41:20,2023-10-24 12:41:20,31.019575,-98.022607,30.331991,-94.553039
TRIP_00087,Station_19,Station_48,2024-01-01 12:41:20,2024-10-02 12:41:20,36.894868,-93.704659,34.214012,-92.345526
TRIP_00088,Station_19,Station_34,2024-01-12 12:41:20,2024-07-24 12:41:20,32.469383,-93.171276,31.428573,-93.811444
TRIP_00089,Station_32,Station_44,2024-08-14 12:41:20,2024-05-03 12:41:20,35.579482,-91.118315,38.739407,-91.137341
TRIP_00090,Station_35,Station_42,2023-12-14 12:41:20,2024-06-24 12:41:20,33.531514,-92.835957,31.641062,-98.572609
TRIP_00091,Station_27,Station_20,2024-09-12 12:41:20,2024-06-11 12:41:20,34.656305,-94.202993,30.886779,-91.52522
TRIP_00092,Station_25,Station_11,2024-08-30 12:41:20,2024-05-27 12:41:20,31.256948,-91.40079,30.953385,-90.64317
TRIP_00093,Station_26,Station_15,2024-07-30 12:41:20,2024-07-13 12:41:20,38.342166,-98.346928,32.443379,-97.805426
TRIP_00094,Station_18,Station_36,2024-07-02 12:41:20,2024-09-07 12:41:20,39.570445,-99.903029,30.204655,-93.996362
TRIP_00095,Station_16,Station_6,2024-02-02 12:41:20,2024-07-19 12:41:20,33.898816,-93.674572,32.31359,-91.327911
TRIP_00096,Station_40,Station_31,2023-12-08 12:41:20,2023-12-23 12:41:20,38.154149,-95.753146,32.635838,-96.494205
TRIP_00097,Station_33,Station_12,2024-03-01 12:41:20,2024-09-06 12:41:20,31.105474,-99.690078,37.697754,-97.117234
TRIP_00098,Station_39,Station_31,2024-08-23 12:41:20,2024-01-17 12:41:20,33.760866,-96.729506,30.008549,-92.218472
TRIP_00099,Station_14,Station_13,2024-06-12 12:41:20,2024-09-28 12:41:20,31.806263,-91.950305,33.927246,-93.236756
TRIP_00100,Station_32,Station_1,2024-09-03 12:41:20,2023-12-24 12:41:20,30.377663,-92.092943,35.646773,-90.151076
